titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
administrativo de compras /antofagasta,administrativo de compras /antofagasta,Presencial,Full time,Otros,No especificado,False,False,90
administrativo de compras /santiago,administrativo de compras /santiago,Presencial,Full time,Otros,No especificado,False,False,95
administrativo de logística y operaciones,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,32
administrativo de obra,constructora del arte,Presencial,Full time,Otros,No especificado,False,False,114
administrativo de producción// antofagasta,administrativo de producción// antofagasta,Presencial,Full time,Otros,No especificado,False,False,127
administrativo de rrhh 800.000 liquido san bernardo,administrativo de rrhh 800.000 liquido san bernardo,Presencial,Full time,Recursos Humanos,No especificado,False,False,140
administrativo de recursos humanos - minería,psinet chile s.a,Presencial,Otro,Recursos Humanos,No especificado,False,False,164
administrativo de salud /antofagasta,empresa destacada,Remoto,Full time,Salud,No especificado,False,True,28
administrativo de servicio técnico,"open channels s.a., santiago",Presencial,Full time,Otros,No especificado,False,False,91
administrativo de ventas,indumotora,Presencial,Otro,Ventas / Comercial,No especificado,False,False,135
administrativo en transporte logístico,sertrans ltda,Presencial,Full time,Otros,No especificado,False,False,144
administrativo para transporte logístico,sertrans ltda,Presencial,Full time,Otros,No especificado,False,False,148
administrativo ventas y recaudación antofagasta,"industria antofagasta, antofagasta",Presencial,Full time,Ventas / Comercial,No especificado,False,False,90
administrativo(a) con conocimiento operacional,grupo imsi,Presencial,Full time,Otros,No especificado,False,False,143
administrativo(a) de bodega quilicura,"mqo consulting spa, santiago",Presencial,Full time,Otros,No especificado,False,False,100
administrativo(a) de facturación,administrativo(a) de facturación,Presencial,Full time,Otros,No especificado,False,False,94
administrativo/a selección,empresa destacada,Híbrido,Full time,Otros,No especificado,False,False,37
administrativo/a de abastecimiento.,confidencial,Presencial,Full time,Otros,No especificado,False,False,135
administrativo/a de local para farmacias- antofagasta,empresa destacada,Presencial,Full time,Salud,No especificado,False,False,31
administrativo/a de logística - apro los andes,apro ltda.,Presencial,Otro,Otros,No especificado,False,False,132
administrativo/a de oficina — técnico en administración,nexxolog s.a.,Presencial,Full time,Otros,No especificado,False,False,153
administrativo/a de recursos humanos.,"servicios mineros, antofagasta",Presencial,Full time,Recursos Humanos,No especificado,False,False,99
